day,price,predicted_price,action,holding,steps_holding,portfolio_value,capital
126,42716.59375,45677.78515625,BUY,True,0,9797.774454142076,9797.774454142076
127,43208.5390625,45215.05078125,SELL,False,0,9910.610445791046,9910.610445791046
128,42235.73046875,44836.984375,BUY,True,0,9910.610445791046,9910.610445791046
129,41034.54296875,44468.48046875,SELL,False,0,9628.751904391798,9628.751904391798
130,41564.36328125,44042.2734375,BUY,True,0,9628.751904391798,9628.751904391798
131,43790.89453125,43650.58203125,HOLD,True,1,10144.547536062079,9628.751904391798
132,48116.94140625,43483.70703125,HOLD,True,2,11146.71450790488,9628.751904391798
133,47711.48828125,43848.859375,SELL,False,0,11052.787710011491,11052.787710011491
134,48199.953125,44506.2734375,BUY,True,0,11052.787710011491,11052.787710011491
135,49112.90234375,45350.1640625,SELL,False,0,11262.137164744276,11262.137164744276
136,51514.8125,46328.59375,BUY,True,0,11262.137164744276,11262.137164744276
137,55361.44921875,47517.71875,HOLD,True,1,12103.086558658973,11262.137164744276
138,53805.984375,49071.1171875,SELL,False,0,11763.031774896535,11763.031774896535
139,53967.84765625,50618.42578125,BUY,True,0,11763.031774896535,11763.031774896535
140,54968.22265625,52052.4140625,SELL,False,0,11981.077211630742,11981.077211630742
141,54771.578125,53377.62890625,BUY,True,0,11981.077211630742,11981.077211630742
142,57484.7890625,54505.55859375,HOLD,True,1,12574.581924228953,11981.077211630742
143,56041.05859375,55632.234375,SELL,False,0,12258.771301073248,12258.771301073248
144,57401.09765625,56543.93359375,BUY,True,0,12258.771301073248,12258.771301073248
145,57321.5234375,57350.5234375,SELL,False,0,12241.777163522785,12241.777163522785
146,61593.94921875,58010.359375,BUY,True,0,12241.777163522785,12241.777163522785
147,60892.1796875,58871.92578125,SELL,False,0,12102.300699833117,12102.300699833117
148,61553.6171875,59732.75,BUY,True,0,12102.300699833117,12102.300699833117
149,62026.078125,60575.67578125,SELL,False,0,12195.193117790175,12195.193117790175
150,64261.9921875,61372.9296875,BUY,True,0,12195.193117790175,12195.193117790175
151,65992.8359375,62257.90234375,SELL,False,0,12523.660584630956,12523.660584630956
152,62210.171875,63268.86328125,BUY,True,0,12523.660584630956,12523.660584630956
153,60692.265625,63956.9296875,SELL,False,0,12218.087683908441,12218.087683908441
154,61393.6171875,64244.8984375,BUY,True,0,12218.087683908441,12218.087683908441
155,60930.8359375,64298.48828125,SELL,False,0,12125.988502430011,12125.988502430011
156,63039.82421875,64146.890625,BUY,True,0,12125.988502430011,12125.988502430011
157,60363.79296875,64044.73046875,SELL,False,0,11611.242077106193,11611.242077106193
158,58482.38671875,63752.0390625,BUY,True,0,11611.242077106193,11611.242077106193
159,60622.13671875,63197.8203125,HOLD,True,1,12036.073494366432,11611.242077106193
160,62227.96484375,62692.81640625,SELL,False,0,12354.898702087008,12354.898702087008
161,61888.83203125,62390.63671875,BUY,True,0,12354.898702087008,12354.898702087008
162,61318.95703125,62216.07421875,SELL,False,0,12241.134268880438,12241.134268880438
163,61004.40625,62092.08203125,BUY,True,0,12241.134268880438,12241.134268880438
164,63226.40234375,61984.99609375,HOLD,True,1,12686.999644851072,12241.134268880438
165,62970.046875,62083.796875,SELL,False,0,12635.559398048727,12635.559398048727
166,61452.23046875,62288.01171875,BUY,True,0,12635.559398048727,12635.559398048727
167,61125.67578125,62419.078125,SELL,False,0,12568.414542294211,12568.414542294211
168,61527.48046875,62464.92578125,BUY,True,0,12568.414542294211,12568.414542294211
169,63326.98828125,62484.26171875,HOLD,True,1,12936.005738736658,12568.414542294211
170,67566.828125,62635.15625,HOLD,True,2,13802.091337288854,12568.414542294211
171,66971.828125,63216.4765625,SELL,False,0,13680.548790841445,13680.548790841445
172,64995.23046875,63984.78125,BUY,True,0,13680.548790841445,13680.548790841445
173,64949.9609375,64650.06640625,SELL,False,0,13671.020214259168,13671.020214259168
174,64155.94140625,65190.26953125,BUY,True,0,13671.020214259168,13671.020214259168
